"ZIP3","X_centroid","Y_centroid"
0,-149.4512634,64.2947464
1,-86.6403046,46.4228859
6,-66.8423157,18.2594509
7,-66.1094513,18.1564121
8,-64.8014679,17.9650593
9,-66.098053,18.3711586
10,-72.5994263,42.2577896
11,-72.5465317,42.1000557
12,-73.2075958,42.3702393
13,-72.521492,42.5861855
14,-71.8164597,42.5921249
15,-71.8555527,42.2298203
16,-71.8452225,42.2788124
17,-71.4545212,42.3420982
18,-71.2159882,42.6406784
19,-70.8909607,42.6529388
20,-71.1500854,42.139328
21,-71.0526962,42.3111115
22,-71.0698776,42.3472748
23,-70.8493042,41.9679756
24,-71.2322006,42.359539
25,-70.5266266,41.5392609
26,-70.1912384,41.7505455
27,-71.0763168,41.768898
28,-71.5645065,41.6590881
29,-71.4669495,41.8253593
30,-71.5050354,42.9044228
31,-71.4692383,43.0006905
32,-71.6614914,43.5727692
33,-71.563446,43.2619095
34,-72.1925507,42.9077187
35,-71.3813705,44.6551247
36,-72.3218842,43.1761208
37,-72.1185913,43.7037468
38,-71.0988388,43.5520058
39,-70.7468414,43.2345924
40,-70.5971985,43.7764626
41,-70.2744446,43.6820831
42,-70.5375824,44.4417915
43,-69.7432632,44.3035393
44,-68.755806,45.3132439
45,-69.5682678,43.9977112
46,-67.8664093,44.7184334
47,-68.3587189,46.609478
48,-69.132164,44.1865578
49,-69.9098511,44.9706345
50,-72.4251251,43.8606873
51,-72.6467972,43.2849312
52,-73.1348267,43.0249481
53,-72.7800674,42.9434204
54,-73.040123,44.5938263
56,-72.601059,44.3531609
57,-73.0508499,43.6919632
58,-72.1000214,44.6844444
59,-71.6812515,44.7814751
60,-72.8165665,41.8846092
61,-72.690567,41.7422943
62,-72.1142578,41.8114128
63,-72.0316849,41.5011635
64,-72.749527,41.4390945
65,-72.9478836,41.3588524
66,-73.2193527,41.2375412
67,-73.2347794,41.674221
68,-73.4511566,41.251915
69,-73.5575714,41.1041374
70,-74.2800369,40.7605438
71,-74.1767883,40.7396774
72,-74.2154388,40.66782
73,-74.0667877,40.7190666
74,-74.3922043,41.0992393
75,-74.1807938,40.9316444
76,-74.0100632,40.9429512
77,-74.1702957,40.2845764
78,-74.7997284,40.9747314
79,-74.5456314,40.7425156
80,-74.8598557,39.7660179
81,-75.0774689,39.942215
82,-74.6780396,39.3277779
83,-75.048233,39.4373512
84,-74.4692154,39.3620872
85,-74.6261673,40.2537689
86,-74.6766739,40.2050095
87,-74.2591629,39.9594078
88,-74.730751,40.5475426
89,-74.4681625,40.4593658
100,-73.9672012,40.7809181
101,-73.9478531,40.7808189
102,-74.0181198,40.7132187
103,-74.1530838,40.5808258
104,-73.8677826,40.8498192
105,-73.7548065,41.2669945
106,-73.7590332,41.0390396
107,-73.8620529,40.9519196
108,-73.7887421,40.9229355
109,-74.2297897,41.2985611
110,-73.7022858,40.7749023
111,-73.9261932,40.7609367
112,-73.9481277,40.6458511
113,-73.8348694,40.7495155
114,-73.7845612,40.6835251
115,-73.6238022,40.7251282
116,-73.8237381,40.5912094
117,-73.2377625,40.8080254
118,-73.489563,40.7682381
119,-72.5353165,40.9304771
120,-74.0414963,42.7813606
121,-74.1524658,42.9519081
122,-73.802002,42.6885986
123,-73.9705811,42.8216171
124,-74.267334,42.098671
125,-73.832222,41.8067513
126,-73.8880768,41.6867332
127,-74.7526627,41.7446632
128,-73.8944016,43.6185989
129,-73.9980011,44.5291367
130,-76.1728821,42.9628944
131,-76.3515778,43.0679932
132,-76.1868439,43.0385208
133,-75.156044,43.3886604
134,-75.2611847,43.152092
135,-75.1698227,43.1334572
136,-75.3987961,44.3199539
137,-75.413887,42.217411
138,-75.5914993,42.3401451
139,-75.8948822,42.1186142
140,-78.5975952,42.8130074
141,-78.6748123,42.8381271
142,-78.7918549,42.917942
143,-78.9837189,43.0990524
144,-77.6285095,42.9571686
145,-77.4245453,42.8877182
146,-77.646431,43.1680031
147,-78.835968,42.2039337
148,-77.1972961,42.2912483
149,-76.7921753,42.0893402
150,-80.1551285,40.4984131
151,-80.0149231,40.4601555
152,-79.9726562,40.4577065
153,-80.2400208,40.007019
154,-79.6446686,39.9152756
155,-78.7864838,39.9469337
156,-79.469017,40.3325882
157,-79.0144882,40.7198334
158,-78.6439438,41.3249855
159,-78.8454132,40.3387489
160,-79.8988495,40.9292259
161,-80.3027649,41.1946716
162,-79.3693924,41.0615921
163,-79.5550613,41.5931587
164,-79.9992676,41.8715973
165,-80.0418015,42.0907249
166,-78.2801895,40.4878349
167,-78.4532547,41.7636833
168,-77.9899063,40.9776306
169,-77.377037,41.788681
170,-77.1303635,40.4186401
171,-76.8145981,40.3220367
172,-77.7959518,39.9906616
173,-76.9264755,39.8847198
174,-76.7083588,39.9736557
175,-76.2305145,40.0426331
176,-76.307312,40.0364189
177,-77.1823578,41.3359795
178,-76.776062,40.9287148
179,-76.2979507,40.6800728
180,-75.4504852,40.6707191
181,-75.5149765,40.5987816
182,-75.8689651,40.9014244
183,-75.1721649,41.1200409
184,-75.3828125,41.5340118
185,-75.6592484,41.4064255
186,-76.0928192,41.3547554
187,-75.8674545,41.207653
188,-76.1316605,41.8190384
189,-75.1600113,40.366169
190,-75.1709061,40.0554924
191,-75.1389694,40.0018806
193,-75.7691574,39.925396
194,-75.4684906,40.1854744
195,-75.9023972,40.4159546
196,-75.9471436,40.3385315
197,-75.6594315,39.5534172
198,-75.5726318,39.7667427
199,-75.4674759,38.83498
200,-77.0311661,38.9063416
201,-77.6781235,38.9064484
203,-77.0104218,38.8583488
205,-77.0087891,38.888237
206,-76.7754211,38.3970413
207,-76.7885666,38.8840485
208,-77.2355804,39.149044
209,-77.0128098,39.0616379
210,-76.5261307,39.3903351
211,-76.7179718,39.5048409
212,-76.5718918,39.3079834
214,-76.5049133,38.9898262
215,-79.0712891,39.5619888
216,-76.0270462,38.8440628
217,-77.5000076,39.5201721
218,-75.5928268,38.2603264
219,-75.9418716,39.5684547
220,-77.2652969,38.7892036
221,-77.3131714,38.7184906
222,-77.1009598,38.8784485
223,-77.10112,38.7765541
224,-76.9981232,38.0992546
225,-77.2062683,38.0665283
226,-78.2457352,39.034256
227,-78.0632172,38.4975204
228,-78.801178,38.5646973
229,-78.5652542,38.0207329
230,-77.5191422,37.63097
231,-77.3072815,37.5929108
232,-77.4536896,37.509861
233,-76.0819016,37.10355
234,-76.2694626,37.0284767
235,-76.2611084,36.89328
236,-76.4676666,37.1110229
237,-76.354538,36.8493576
238,-77.3947678,36.9498253
239,-78.3851089,37.0295792
240,-80.0859375,37.1511269
241,-80.1128387,37.0796204
242,-82.4787598,36.8412933
243,-81.1300659,36.8557358
244,-79.5278397,38.0399933
245,-79.1108704,37.146183
246,-81.7974091,37.1932373
247,-81.1680908,37.4019547
248,-81.6452713,37.470417
249,-80.3080292,37.9682312
250,-81.4364319,38.3045692
251,-81.5906906,38.3170776
252,-81.4723816,38.6852264
253,-81.630043,38.3947792
254,-78.1019669,39.4494362
255,-82.1844864,38.2661934
256,-82.0482025,37.7625656
257,-82.4230194,38.3796349
258,-81.1537552,37.8334808
259,-80.9420776,37.8126984
260,-80.6327744,40.0525246
261,-81.254982,39.2171059
262,-80.0272903,38.7566299
263,-80.5632019,39.1708488
264,-80.4213638,39.2183876
265,-80.0544662,39.5862083
266,-80.8061676,38.4772873
267,-78.9885559,39.3291664
268,-79.0925064,38.887001
270,-80.4465332,36.2473412
271,-80.2465363,36.0736465
272,-79.7123718,35.8577309
273,-79.5691147,35.8281479
274,-79.8171158,36.0709457
275,-78.54496,35.9328156
276,-78.6386261,35.8087502
277,-78.8874207,35.9968109
278,-77.2854538,35.8679161
279,-76.4188156,36.0983086
280,-80.9996033,35.3610573
281,-80.7467651,35.2503548
282,-80.8304367,35.2109718
283,-78.9274979,34.9550323
284,-78.2227173,34.3834915
285,-77.2223663,35.0425262
286,-81.351387,36.059166
287,-82.8250504,35.5044518
288,-82.5523911,35.5802994
289,-83.9629745,35.1092758
290,-80.8214722,34.0044823
291,-80.8895645,33.9230881
292,-80.9699631,34.0547981
293,-81.8634338,34.781498
294,-80.0868454,33.0580521
295,-79.4989929,34.0656433
296,-82.5689011,34.6094933
297,-80.9365692,34.8360481
298,-81.7310028,33.4932594
299,-80.9532318,32.5442657
300,-84.0648117,33.8490601
301,-84.9070969,34.0406876
302,-84.5459366,33.2413445
303,-84.423027,33.7726059
304,-82.1079025,32.4893837
305,-83.801384,34.579113
306,-83.1372757,33.8590164
307,-85.1094589,34.7086945
308,-82.3428574,33.3572159
309,-82.0669098,33.3963814
310,-83.4066467,32.6323967
312,-83.6346512,32.8358383
313,-81.4825974,31.9095669
314,-81.1156845,31.9925404
315,-82.1926651,31.2959805
316,-83.0965195,30.9675217
317,-83.8596039,31.4816322
318,-84.6898499,32.4489708
319,-84.8441849,32.4320297
320,-82.41922,30.2173882
321,-81.5201874,29.3620911
322,-81.687088,30.3050957
323,-84.2013702,30.2541428
324,-85.5747681,30.5281944
325,-86.935997,30.7173405
326,-82.6064148,29.5822983
327,-81.2885666,28.8030663
328,-81.1725845,28.5070858
329,-80.6466217,27.9677353
330,-80.5416946,25.5313396
331,-80.5088577,25.7807426
333,-80.263237,26.1189022
334,-80.6885757,26.7208424
335,-82.2105713,28.2049828
336,-82.4566956,28.0139256
337,-82.7230072,27.8566437
338,-81.6292877,27.726696
339,-81.6932983,26.7539692
341,-81.3419495,26.1352615
342,-82.1489868,27.2892742
344,-82.3808594,29.0327511
346,-82.5258713,28.4087658
347,-81.3868561,28.2597485
349,-80.7276917,27.2328033
350,-86.6835938,33.4621696
351,-86.5257263,33.4433022
352,-86.7703094,33.5008392
354,-87.8561249,33.0752754
355,-87.7087479,33.9542503
356,-87.4031982,34.6690865
357,-86.2702026,34.7480507
358,-86.59478,34.6957626
359,-85.9281082,34.2733307
360,-86.095108,32.0826111
361,-86.2736435,32.3202896
362,-85.647934,33.5236588
363,-85.5542679,31.3389549
364,-86.961647,31.3678169
365,-87.9474487,31.0426254
366,-88.1931076,30.6905212
367,-87.3620911,32.3100243
368,-85.3950119,32.6130066
369,-88.2557602,32.1310654
370,-86.9858398,36.104084
371,-86.6688461,36.0098801
372,-86.8272324,36.1360779
373,-85.3478928,35.317627
374,-85.3033066,35.0711861
376,-82.295845,36.3587723
377,-83.8216782,36.0970726
378,-83.8435211,36.0956154
379,-83.9661484,35.9656219
380,-89.4213409,35.5483055
381,-89.9775848,35.1221733
382,-88.6745529,36.2981834
383,-88.504921,35.6054688
384,-87.359314,35.3393745
385,-85.3318558,36.1783714
386,-89.7717514,34.5704346
387,-90.8097153,33.5375633
388,-88.6286697,34.3537445
389,-89.9065323,33.7753983
390,-90.088707,32.504097
391,-90.3329239,32.3603516
392,-90.2049942,32.3171463
393,-88.8049774,32.4319801
394,-89.2612076,31.2339535
395,-89.0228958,30.5792599
396,-90.6837845,31.3172817
397,-88.86306,33.5305557
398,-84.6676331,31.32131
400,-85.2914352,38.0589943
401,-86.1648941,37.8558121
402,-85.6588821,38.1868782
403,-84.2356796,38.0614891
404,-84.3984451,37.5299149
405,-84.4561539,38.0375977
406,-84.8828964,38.2329102
407,-84.1243515,36.9304924
408,-83.2837753,36.8857918
409,-83.7199249,36.9657669
410,-84.3169861,38.6550827
411,-83.0646515,38.3798409
412,-82.6805038,37.9035301
413,-83.4763641,37.5685387
414,-83.1730652,37.8474503
415,-82.4028625,37.4599876
416,-82.7698822,37.54813
417,-83.2402649,37.2304726
418,-82.885437,37.218132
